PRED,IMAGE,CONF
2PTW66,090113_1701115590099F02_101,929
883VL9,090106_1701108792375F02_221,930
2BYV18,090106_1701110604165R03_281,939
AR11156,090106_1701090606994F04_791,899
1EXH68,090008_1701103467109F03_131,946
2ZAW57,001315_1701116878930R02_438,887
4BZR97,090010_1701097623957F04_401,932
KWF3416,090101_1701090172775F02_001,907
LZC6513,090108_1701097764725R04_421,910
3ADR85,090106_1701108685201R03_241,942
1YSZ32,090111_1701095949806R03_081,932
786ZDY,090013_1701109123911F03_571,933
5PZK79,090014_1701119251759F06_611,939
EV122N,011116_1701110671016R01_541,911
3ERX45,090010_1701105803265R02_831,925
1JEV19,001215_1701092179152R02_841,909
4FJX24,090112_1701117818710R02_251,932
4RES99,090014_1701106960032F05_231,936
W12288,090111_1701099281573F03_781,944
PM1,090011_1701116426128R04_661,932
2MTJ69,090112_1701093206495R04_581,926
FF182,090005_1701116883358F03_111,869
3HEX83,090008_1701114757198R03_661,923
2ZDJ16,090006_1701109306023R04_691,942
TBW3130,090007_1701108799824F04_761,913
3MR926,090113_1701109140511F02_201,941
1DJE73,090011_1701103539728F03_611,932
4AYB15,011016_1701100442001R02_901,935
THC2117,090011_1701108406058F04_341,921
3JRN20,090013_1701103721375R04_291,927
83892,090007_1701122398976F02_251,916
1CWX68,090005_1701093005240R03_991,942
2BJN58,090107_1701097304195F04_471,921
2JRR99,090109_1701110399478R03_541,939
2YYB33,090014_1701097102722F06_731,931
1AFF86,090109_1701094540980R05_761,864
JHFD70,090110_1701099149552R03_191,919
3HVW97,090113_1701116533222F04_531,929
1NV416,001115_1701097679217F04_358,836
210LPB,090001_1701113381864R02_521,881
3YZR31,090106_1701107811871F04_481,926
4KY873,090112_1701112127136F02_211,921
2HVG35,090011_1701120396590R03_111,934
9JW177,090112_1701103168765R04_041,925
W85523,090112_1701101559988F04_561,944
BT95104,090103_1701091423197F02_501,886
367Y60,090011_1701110389137F04_521,936
2XFV58,011016_1701092528643R01_531,940
3RHC27,090003_1701121820803F03_631,935
ADVH30,090003_1701119082175R03_991,920
4DSS85,090109_1701112426343F04_741,901
1WPC42,090008_1701098428938R04_811,919
LV85461,090013_1701117218232R02_951,912
LVA8423,090014_1701121711499F06_781,902
43527,001315_1701094697530F03_274,897
V13690,090106_1701099895437R03_611,906
QMTE43,090314_1701115377451R01_091,923
179NQM,090011_1701112834942R04_051,901
1WYH40,090113_1701111032163R02_111,932
